TimeUS,pX,pY,pZ
636852504,360757760.0,1362132992.0,10.0
636952559,360757760.0,1362132992.0,20.0
638005156,360757760.0,1362132992.0,30.0
638554980,360757760.0,1362132992.0,40.0
640507833,360757760.0,1362132992.0,50.0
640909854,360757760.0,1362132992.0,60.0
652222508,360757760.0,1362132992.0,60.0
652622504,360757760.0,1362132992.0,60.0
652972545,360757728.0,1362132992.0,60.0
667940016,360757728.0,1362132992.0,60.0
668092384,360757728.0,1362132992.0,60.0
710090006,360757728.0,1362132992.0,60.0
710440031,360757728.0,1362132864.0,60.0
719652506,360757728.0,1362132864.0,60.0
720352496,360757728.0,1362132864.0,60.0
720954798,360757728.0,1362132864.0,60.0
721605015,360757728.0,1362132864.0,60.0
722405008,360757728.0,1362132864.0,60.0
723157875,360757728.0,1362132864.0,60.0
723857868,360757728.0,1362132864.0,60.0
724559857,360757728.0,1362132864.0,60.0
724809981,360757728.0,1362132864.0,60.0
725109989,360757728.0,1362132864.0,60.0
725409970,360757728.0,1362132864.0,60.0
738577362,360757728.0,1362132864.0,60.0
738877519,360757728.0,1362132864.0,60.0
740177487,360757728.0,1362132864.0,60.0
740480022,360757728.0,1362132864.0,60.0
740780192,360757728.0,1362132864.0,60.0
741080149,360757728.0,1362132864.0,60.0
