TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
165569046,,,,36.0757784,136.2132941,0.5099999904632568,,,
165585476,36.0757784,136.2132941,0.52,,,,,,
165605534,36.0757784,136.2132941,0.52,,,,,,
165625697,36.0757784,136.2132941,0.52,,,,,,
165645477,36.0757784,136.2132941,0.52,,,,,,
165665693,36.0757784,136.2132941,0.52,,,,,,
165668444,,,,36.0757784,136.2132941,0.5099999904632568,,,
165705461,36.0757784,136.2132941,0.52,,,,,,
165745475,36.0757784,136.2132941,0.52,,,,,,
165765685,36.0757784,136.2132941,0.52,,,,,,
165768398,,,,36.0757784,136.2132941,0.5099999904632568,,,
165785516,36.0757784,136.2132941,0.52,,,,,,
165805535,36.0757784,136.2132941,0.52,,,,,,
165845482,36.0757784,136.2132941,0.52,,,,,,
165868384,,,,36.0757784,136.2132941,0.5099999904632568,,,
165885479,36.0757784,136.2132941,0.52,,,,,,
165905483,36.0757784,136.2132941,0.52,,,,,,
165945524,36.0757784,136.2132941,0.52,,,,,,
165968334,,,,36.0757784,136.2132941,0.5099999904632568,,,
165985465,36.0757784,136.2132941,0.52,,,,,,
166025681,36.0757784,136.2132941,0.52,,,,,,
166045523,36.0757784,136.2132941,0.52,,,,,,
166065701,36.0757784,136.2132941,0.52,,,,,,
166068283,,,,36.0757784,136.2132941,0.5099999904632568,,,
166085489,36.0757784,136.2132941,0.52,,,,,,
166105483,36.0757784,136.2132941,0.52,,,,,,
166125690,36.0757784,136.2132941,0.52,,,,,,
166145474,36.0757784,136.2132941,0.52,,,,,,
166165711,36.0757784,136.2132941,0.52,,,,,,
166168278,,,,36.0757784,136.2132941,0.5099999904632568,,,
166185513,36.0757784,136.2132941,0.52,,,,,,
166205515,36.0757784,136.2132941,0.52,,,,,,
166225695,36.0757784,136.2132941,0.52,,,,,,
166245513,36.0757784,136.2132941,0.52,,,,,,
166265719,36.0757784,136.2132941,0.52,,,,,,
166268522,,,,36.0757784,136.2132941,0.5099999904632568,,,
166285537,36.0757784,136.2132941,0.52,,,,,,
166305519,36.0757784,136.2132941,0.52,,,,,,
166325691,36.0757784,136.2132941,0.52,,,,,,
166365713,36.0757784,136.2132941,0.52,,,,,,
166368387,,,,36.0757784,136.2132941,0.5099999904632568,,,
166385517,36.0757784,136.2132941,0.52,,,,,,
166425696,36.0757784,136.2132941,0.52,,,,,,
166465875,36.0757784,136.2132941,0.52,,,,,,
166468346,,,,36.0757784,136.2132941,0.5099999904632568,,,
166485533,36.0757784,136.2132941,0.52,,,,,,
166505442,36.0757784,136.2132941,0.52,,,,,,
166545528,36.0757784,136.2132941,0.52,,,,,,
166565729,36.0757784,136.2132941,0.52,,,,,,
166568285,,,,36.0757784,136.2132941,0.5099999904632568,,,
166605517,36.0757784,136.2132941,0.52,,,,,,
166645535,36.0757784,136.2132941,0.52,,,,,,
166665686,36.0757784,136.2132941,0.52,,,,,,
166668402,,,,36.0757784,136.2132941,0.5099999904632568,,,
166705518,36.0757784,136.2132941,0.52,,,,,,
166725707,36.0757784,136.2132941,0.52,,,,,,
166745506,36.0757784,136.2132941,0.52,,,,,,
166765706,36.0757784,136.2132941,0.52,,,,,,
166768325,,,,36.0757784,136.2132941,0.5099999904632568,,,
166805588,36.0757784,136.2132941,0.52,,,,,,
166845475,36.0757784,136.2132941,0.52,,,,,,
166865714,36.0757784,136.2132941,0.52,,,,,,
166868345,,,,36.0757784,136.2132941,0.5099999904632568,,,
166905526,36.0757784,136.2132941,0.52,,,,,,
166925706,36.0757784,136.2132941,0.52,,,,,,
166945488,36.0757784,136.2132941,0.52,,,,,,
166965684,36.0757784,136.2132941,0.52,,,,,,
166968398,,,,36.0757784,136.2132941,0.5099999904632568,,,
166985558,36.0757784,136.2132941,0.52,,,,,,
167005514,36.0757784,136.2132941,0.52,,,,,,
167025725,36.0757784,136.2132941,0.52,,,,,,
167045475,36.0757784,136.2132941,0.52,,,,,,
167068403,,,,36.0757784,136.2132941,0.5099999904632568,,,
167085532,36.0757784,136.2132941,0.52,,,,,,
167105509,36.0757784,136.2132941,0.52,,,,,,
167145487,36.0757784,136.2132941,0.52,,,,,,
167168501,,,,36.0757784,136.2132941,0.5099999904632568,,,
167185549,36.0757784,136.2132941,0.52,,,,,,
167205463,36.0757784,136.2132941,0.52,,,,,,
167245531,36.0757784,136.2132941,0.52,,,,,,
167265829,36.0757784,136.2132941,0.52,,,,,,
167268355,,,,36.0757784,136.2132941,0.5099999904632568,,,
167285473,36.0757784,136.2132941,0.52,,,,,,
167305529,36.0757784,136.2132941,0.52,,,,,,
167325828,36.0757784,136.2132941,0.52,,,,,,
167345499,36.0757784,136.2132941,0.52,,,,,,
167365719,36.0757784,136.2132941,0.52,,,,,,
167368378,,,,36.0757784,136.2132941,0.5099999904632568,,,
167385466,36.0757784,136.2132941,0.52,,,,,,
167405470,36.0757784,136.2132941,0.52,,,,,,
167445518,36.0757784,136.2132941,0.52,,,,,,
167465692,36.0757784,136.2132941,0.52,,,,,,
167468379,,,,36.0757784,136.2132941,0.5099999904632568,,,
167485475,36.0757784,136.2132941,0.52,,,,,,
167505526,36.0757784,136.2132941,0.52,,,,,,
167525728,36.0757784,136.2132941,0.52,,,,,,
167565689,36.0757784,136.2132941,0.52,,,,,,
167568394,,,,36.0757784,136.2132941,0.5099999904632568,,,
167605505,36.0757784,136.2132941,0.52,,,,,,
167645486,36.0757784,136.2132941,0.52,,,,,,
167665699,36.0757784,136.2132941,0.52,,,,,,
167668328,,,,36.0757784,136.2132941,0.5,,,
167685517,36.0757784,136.2132941,0.52,,,,,,
167705553,36.0757784,136.2132941,0.52,,,,,,
167725739,36.0757784,136.2132941,0.52,,,,,,
167745475,36.0757784,136.2132941,0.52,,,,,,
167765712,36.0757784,136.2132941,0.52,,,,,,
167768385,,,,36.0757784,136.2132941,0.5,,,
167805473,36.0757784,136.2132941,0.52,,,,,,
167825821,36.0757784,136.2132941,0.52,,,,,,
167865685,36.0757784,136.2132941,0.52,,,,,,
167868347,,,,36.0757784,136.2132941,0.5,,,
167885521,36.0757784,136.2132941,0.52,,,,,,
167905539,36.0757784,136.2132941,0.52,,,,,,
167945522,36.0757784,136.2132941,0.52,,,,,,
